video_id,views,likes,comments,snapshot_date
nE9MrfLBjek,1998,23,1,2026-01-07
02B-LGYUEvk,887,8,0,2026-01-07
ejhgf3KzOPs,523,8,0,2026-01-07
NxsqDp-bnfU,122,1,0,2026-01-07
iJeXEogJPow,279,5,0,2026-01-07
ize5WYZCQoU,297,4,0,2026-01-07
5sUZW49ojH4,290,11,0,2026-01-07
OcA-LOOagN8,354,6,1,2026-01-07
YjRrlRR1xY4,131,1,0,2026-01-07
lSiYOnSTHIc,195,3,0,2026-01-07
xWQ-4wYS_NM,183,5,0,2026-01-07
g_dUA1Snc88,1901,20,1,2026-01-07
xDo5HZZguNo,1072,25,2,2026-01-07
53pI1RfoEjY,2473,67,3,2026-01-07
W73gOYW2TCc,4308,111,10,2026-01-07
1TzJoCQyG2Y,10126,120,5,2026-01-07
C3GJkurCbCg,103,4,2,2026-01-07
J9DSL5hajDk,40,2,0,2026-01-07
ilqil_Y-78E,1012,52,0,2026-01-07
rJoxyCgL4y0,305,7,0,2026-01-07
0YH0BgKXIUc,228,8,0,2026-01-07
m_2KUTp5-SE,128,1,1,2026-01-07
9Yhd8kyp-qI,296,3,0,2026-01-07
xVjq1c_SMIU,954,41,4,2026-01-07
YffjfC0zCdY,600,9,0,2026-01-07
1q7_U2kKHBw,139,1,0,2026-01-07
IPiV-dlhtFM,174,4,0,2026-01-07
dZ2eJkUjFsc,1032,67,3,2026-01-07
Ffrv7VSusTo,4893,93,17,2026-01-07
uPLCFsvO5Do,298,3,1,2026-01-07
YPqv09io1lQ,179,1,0,2026-01-07
MSXHu_ijrZ4,364,5,1,2026-01-07
5-oTK0AAjTI,174,3,0,2026-01-07
WhqexlakTng,393,7,0,2026-01-07
rQKOd8PHkPo,100,1,0,2026-01-07
FTaZSvo9pHU,118,6,1,2026-01-07
RHUxfz8tOBA,210,3,0,2026-01-07
Jry9m7PHEmY,3055,44,6,2026-01-07
LCQ7LBkHXHw,862,10,8,2026-01-07
twV787qQv24,391,6,0,2026-01-07
div_vc2lgGA,245,7,1,2026-01-07
cBqJNqBJ61M,312,4,1,2026-01-07
0byBRvyYpDU,1565,24,3,2026-01-07
rb70ORAF-rE,3317,67,36,2026-01-07
L40EG_H96Ck,1075,22,0,2026-01-07
OmUkGR82-XM,175,3,0,2026-01-07
lwMcaVPP1qc,147,1,0,2026-01-07
VJOrZjDWg4Y,211,4,0,2026-01-07
_JeKo_Psyak,178,2,0,2026-01-07
bitkVCIwRb8,236,4,0,2026-01-07
hYqWnCrmwqQ,709,9,3,2026-01-07
9IVPIgA2YOw,1376,69,3,2026-01-07
1_H8CyjPdAs,3806,98,16,2026-01-07
nEfPx8K3pmk,96,4,0,2026-01-07
8nGDHXgFnig,457,13,0,2026-01-07
ijFLzx-x9pU,929,78,2,2026-01-07
bSdxNWz8DdQ,130,1,0,2026-01-07
MXvZ3wk37H0,1552,33,1,2026-01-07
xBtoElsIwRE,1750,38,2,2026-01-07
Gx9v5djf4ZE,1086,2,0,2026-01-07
s858QGG5cBE,895,5,0,2026-01-07
ScR1flv-nrQ,1836,4,0,2026-01-07
K4f5BIQ4cek,9485,19,0,2026-01-07
L4H8rz3UmDI,1462,8,0,2026-01-07
biUNtQoiUqc,257,1,0,2026-01-07
p3vRVMKhyw8,1246,6,0,2026-01-07
CEouINsRiUQ,1060,3,0,2026-01-07
EaJ7S608Hqo,1274,8,0,2026-01-07
AwlMvwCUoac,1121,3,0,2026-01-07
HsGr1wcae0M,2174,39,6,2026-01-07
DIwbXysDtic,704,7,2,2026-01-07
1y4rjLjsbnQ,1625,38,6,2026-01-07
kNEi7y_epVY,34440,971,90,2026-01-07
nVXh5_nD6oc,908,3,2,2026-01-07
JdO81dcLYCw,868,13,0,2026-01-07
NEsXA5EOrHs,264,2,0,2026-01-07
yGdczOWYS_E,187,2,0,2026-01-07
iDobRGvt7TM,1447,56,1,2026-01-07
j80d8oEz1rI,394,4,2,2026-01-07
-Fp46KH6R-g,135,5,0,2026-01-07
E2In_1jYxWA,375,7,0,2026-01-07
QBkF3Wj1VTo,4961,151,3,2026-01-07
a6Io5Xjkutw,823,13,0,2026-01-07
YtqAILgTOiY,483,3,1,2026-01-07
NQbDLSRfj8U,185,8,0,2026-01-07
CeS7zZG--Ck,378,7,0,2026-01-07
jQkWUZf44H0,699,14,2,2026-01-07
i5STMALYEXU,83,8,1,2026-01-07
mBvOWMvH6Ac,3106,119,5,2026-01-07
kofjODE4v0k,3743,102,2,2026-01-07
NSr0ocs6q3s,20291,763,51,2026-01-07
fmdlSw-yjxk,483,15,0,2026-01-07
wc1yu3lHbVg,296,4,1,2026-01-07
M_5xwOLuc94,329,6,1,2026-01-07
vWSj047MzVQ,6401,37,13,2026-01-07
iUdTg7IGbWE,563,4,0,2026-01-07
cvHNtnY9Euw,779,30,2,2026-01-07
4YL1JJYQysE,1094,15,0,2026-01-07
v1smiViexcQ,1382,6,5,2026-01-07
QMalWMahVWQ,962,25,0,2026-01-07
j2o41qBs3XU,479,12,1,2026-01-07
7yCU5xFrRsA,1604,35,4,2026-01-07
eAwN25f8xyQ,856,25,0,2026-01-07
zEGa5td-tvw,1583,44,0,2026-01-07
3lyF7-kla9c,1346,21,3,2026-01-07
9UPdfH-iFmk,8992,280,17,2026-01-07
6gLy4mzGKqo,2526,44,3,2026-01-07
urM5pAeSqnU,926,23,0,2026-01-07
Hhxr9ZvBhdI,1675,42,5,2026-01-07
mCz5RiDXRzI,3288,101,3,2026-01-07
agLOlbGJ6QU,431,16,1,2026-01-07
